SKU,NOM,DESCRIPCIO,PREU,ESTOC,IMG
CPU-AMD-7800X3D,"AMD Ryzen 7 7800X3D","Procesador Gaming de 8 núcleos y 16 hilos con tecnología 3D V-Cache.",449.99,50,https://example.com/images/7800x3d.jpg
GPU-NV-RTX4090,"NVIDIA GeForce RTX 4090","Tarjeta gráfica de última generación para gaming 4K y renderizado profesional.",1899.00,10,https://example.com/images/rtx4090.jpg
RAM-COR-DDR5-32GB,"Corsair Vengeance 32GB DDR5 6000MHz","Kit de memoria RAM DDR5 de alto rendimiento para entusiastas.",129.95,100,https://example.com/images/corsair-ddr5.jpg
MOBO-ASUS-B650,"ASUS ROG Strix B650-E Gaming WiFi","Placa base AM5 con soporte PCIe 5.0 y WiFi 6E.",289.50,25,https://example.com/images/asus-b650.jpg
SSD-SAM-990PRO-2TB,"Samsung 990 PRO 2TB NVMe","SSD NVMe PCIe 4.0 ultrarrápido con velocidades de hasta 7450 MB/s.",179.99,75,https://example.com/images/990pro.jpg
PSU-COR-RM1000X,"Corsair RM1000x Shift","Fuente de alimentación modular de 1000W con certificación 80 Plus Gold.",189.90,40,https://example.com/images/rm1000x.jpg
CASE-NZXT-H9,"NZXT H9 Flow","Caja ATX de doble cámara con excelente flujo de aire y paneles de vidrio.",159.99,30,https://example.com/images/h9flow.jpg
COOL-NOC-NHD15,"Noctua NH-D15 chromax.black","Disipador por aire de doble torre, rendimiento premium y silencioso.",119.90,60,https://example.com/images/nhd15.jpg
CPU-INTEL-14900K,"Intel Core i9-14900K","Procesador de 24 núcleos (8P+16E) hasta 6.0 GHz.",589.99,40,https://example.com/images/14900k.jpg
GPU-AMD-7900XTX,"AMD Radeon RX 7900 XTX","Tarjeta gráfica de alto rendimiento con 24GB GDDR6.",999.99,20,https://example.com/images/7900xtx.jpg
RAM-GSKILL-DDR5-64GB,"G.Skill Trident Z5 64GB DDR5","Kit de memoria RAM DDR5 6400MHz RGB.",249.99,60,https://example.com/images/tridentz5.jpg
MOBO-MSI-Z790,"MSI MAG Z790 Tomahawk WiFi","Placa base LGA1700 para procesadores Intel de 12ª, 13ª y 14ª gen.",259.90,35,https://example.com/images/z790.jpg
SSD-WD-SN850X-1TB,"WD_BLACK SN850X 1TB","SSD NVMe PCIe 4.0 de alto rendimiento para gaming.",99.99,80,https://example.com/images/sn850x.jpg
